permno,adate,qdate,public_date,bm,TICKER
11170,1987-01-31,1987-01-31,1987-05-31,0.114,
11170,1987-01-31,1987-04-30,1987-06-30,0.312,CECI
11170,1987-01-31,1987-04-30,1987-07-31,0.312,CECI
11170,1987-01-31,1987-04-30,1987-08-31,0.312,CECI
11170,1987-01-31,1987-07-31,1987-09-30,0.291,CECI
11170,1987-01-31,1987-07-31,1987-10-31,0.291,CECI
11170,1987-01-31,1987-07-31,1987-11-30,0.291,CECI
11170,1987-01-31,1987-10-31,1987-12-31,0.490,CECI
11170,1987-01-31,1987-10-31,1988-01-31,0.490,CECI
11170,1987-12-31,1987-10-31,1988-02-29,0.663,CECI
11170,1987-12-31,1988-01-31,1988-03-31,0.663,CECI
11170,1987-12-31,1988-01-31,1988-04-30,0.663,CECI
11170,1987-12-31,1988-03-31,1988-05-31,0.246,CECI
11170,1987-12-31,1988-03-31,1988-06-30,0.246,CECI
11170,1987-12-31,1988-03-31,1988-07-31,0.246,CECI
11170,1987-12-31,1988-06-30,1988-08-31,0.212,NRG
11170,1987-12-31,1988-06-30,1988-09-30,0.212,NRG
11170,1987-12-31,1988-06-30,1988-10-31,0.212,NRG
11170,1987-12-31,1988-09-30,1988-11-30,0.188,CE
11170,1987-12-31,1988-09-30,1988-12-31,0.188,CE
11170,1987-12-31,1988-09-30,1989-01-31,0.188,CE
11170,1988-12-31,1988-12-31,1989-02-28,0.124,CE
11170,1988-12-31,1988-12-31,1989-03-31,0.124,CE
11170,1988-12-31,1988-12-31,1989-04-30,0.124,CE
11170,1988-12-31,1989-03-31,1989-05-31,0.174,CE
11170,1988-12-31,1989-03-31,1989-06-30,0.174,CE
11170,1988-12-31,1989-03-31,1989-07-31,0.174,CE
11170,1988-12-31,1989-06-30,1989-08-31,0.196,CE
11170,1988-12-31,1989-06-30,1989-09-30,0.196,CE
11170,1988-12-31,1989-06-30,1989-10-31,0.196,CE
11170,1988-12-31,1989-09-30,1989-11-30,0.161,CE
11170,1988-12-31,1989-09-30,1989-12-31,0.161,CE
11170,1988-12-31,1989-09-30,1990-01-31,0.161,CE
11170,1989-12-31,1989-12-31,1990-02-28,0.163,CE
11170,1989-12-31,1989-12-31,1990-03-31,0.163,CE
11170,1989-12-31,1989-12-31,1990-04-30,0.163,CE
11170,1989-12-31,1990-03-31,1990-05-31,0.150,CE
11170,1989-12-31,1990-03-31,1990-06-30,0.150,CE
11170,1989-12-31,1990-03-31,1990-07-31,0.150,CE
11170,1989-12-31,1990-06-30,1990-08-31,0.288,CE
11170,1989-12-31,1990-06-30,1990-09-30,0.288,CE
11170,1989-12-31,1990-06-30,1990-10-31,0.288,CE
11170,1989-12-31,1990-09-30,1990-11-30,0.361,CE
11170,1989-12-31,1990-09-30,1990-12-31,0.361,CE
11170,1989-12-31,1990-09-30,1991-01-31,0.361,CE
11170,1990-12-31,1990-12-31,1991-02-28,0.313,CE
11170,1990-12-31,1990-12-31,1991-03-31,0.313,CE
11170,1990-12-31,1990-12-31,1991-04-30,0.313,CE
11170,1990-12-31,1991-03-31,1991-05-31,0.262,CE
11170,1990-12-31,1991-03-31,1991-06-30,0.262,CE
11170,1990-12-31,1991-03-31,1991-07-31,0.262,CE
11170,1990-12-31,1991-06-30,1991-08-31,0.315,CE
11170,1990-12-31,1991-06-30,1991-09-30,0.315,CE
11170,1990-12-31,1991-06-30,1991-10-31,0.315,CE
11170,1990-12-31,1991-09-30,1991-11-30,0.313,CE
11170,1990-12-31,1991-09-30,1991-12-31,0.313,CE
11170,1990-12-31,1991-09-30,1992-01-31,0.313,CE
11170,1991-12-31,1991-12-31,1992-02-29,0.310,CE
11170,1991-12-31,1991-12-31,1992-03-31,0.310,CE
11170,1991-12-31,1991-12-31,1992-04-30,0.310,CE
